"Gene_Id","padj","logFC","status","source_file"
"222548_s_at",0.003109,1.3516372,"Upregulated","DEGs_Data_2.csv"
"205913_at",0.003109,-2.6158292,"Downregulated","DEGs_Data_2.csv"
"241780_at",0.003109,1.5311638,"Upregulated","DEGs_Data_2.csv"
"212353_at",0.003128,3.4271915,"Upregulated","DEGs_Data_2.csv"
"226594_at",0.003172,-1.9655584,"Downregulated","DEGs_Data_2.csv"
"237724_at",0.0032,-1.9834143,"Downregulated","DEGs_Data_2.csv"
"242269_at",0.0032,-2.7400644,"Downregulated","DEGs_Data_2.csv"
"212448_at",0.0032,-1.7507481,"Downregulated","DEGs_Data_2.csv"
"210524_x_at",0.0032,-2.4116994,"Downregulated","DEGs_Data_2.csv"
"235591_at",0.0032,-3.5878601,"Downregulated","DEGs_Data_2.csv"
"229499_at",0.003225,-3.0874929,"Downregulated","DEGs_Data_2.csv"
"218404_at",0.003225,1.6890116,"Upregulated","DEGs_Data_2.csv"
"221730_at",0.003225,1.9868828,"Upregulated","DEGs_Data_2.csv"
"228568_at",0.003271,-1.5097561,"Downregulated","DEGs_Data_2.csv"
"231766_s_at",0.003271,2.8421016,"Upregulated","DEGs_Data_2.csv"
"212551_at",0.003285,2.2140646,"Upregulated","DEGs_Data_2.csv"
"238205_at",0.003285,-3.3291893,"Downregulated","DEGs_Data_2.csv"
"238681_at",0.003285,-1.6111227,"Downregulated","DEGs_Data_2.csv"
"223753_s_at",0.003285,-2.7513421,"Downregulated","DEGs_Data_2.csv"
"213869_x_at",0.003285,2.0904904,"Upregulated","DEGs_Data_2.csv"
"224950_at",0.003291,1.2402707,"Upregulated","DEGs_Data_2.csv"
"225681_at",0.003291,2.8671448,"Upregulated","DEGs_Data_2.csv"
"235521_at",0.003291,1.4799522,"Upregulated","DEGs_Data_2.csv"
"207173_x_at",0.003291,1.813153,"Upregulated","DEGs_Data_2.csv"
"208636_at",0.003333,1.3033908,"Upregulated","DEGs_Data_2.csv"
"241436_at",0.003333,-5.306967,"Downregulated","DEGs_Data_2.csv"
"204361_s_at",0.003333,1.3420065,"Upregulated","DEGs_Data_2.csv"
"235821_at",0.003333,2.4203602,"Upregulated","DEGs_Data_2.csv"
"214734_at",0.003333,-0.8676581,"Not_Significant","DEGs_Data_2.csv"
"225354_s_at",0.003333,-1.7404764,"Downregulated","DEGs_Data_2.csv"
"207139_at",0.003333,-8.0231921,"Downregulated","DEGs_Data_2.csv"
"219553_at",0.003333,1.0521057,"Upregulated","DEGs_Data_2.csv"
"203570_at",0.003333,1.0754167,"Upregulated","DEGs_Data_2.csv"
"200793_s_at",0.003333,-1.2160107,"Downregulated","DEGs_Data_2.csv"
"223326_s_at",0.003333,-1.1283031,"Downregulated","DEGs_Data_2.csv"
"204073_s_at",0.003333,-2.3243567,"Downregulated","DEGs_Data_2.csv"
"205290_s_at",0.003333,-1.718422,"Downregulated","DEGs_Data_2.csv"
"218765_at",0.003333,-1.458821,"Downregulated","DEGs_Data_2.csv"
"235202_x_at",0.003333,1.2615284,"Upregulated","DEGs_Data_2.csv"
"229401_at",0.003367,-2.124203,"Downregulated","DEGs_Data_2.csv"
"225664_at",0.003367,2.5616933,"Upregulated","DEGs_Data_2.csv"
"242881_x_at",0.003367,2.7994804,"Upregulated","DEGs_Data_2.csv"
"209966_x_at",0.003367,-4.7037854,"Downregulated","DEGs_Data_2.csv"
"225295_at",0.003367,1.6076009,"Upregulated","DEGs_Data_2.csv"
"229661_at",0.003394,3.4227639,"Upregulated","DEGs_Data_2.csv"
"239606_at",0.003423,-1.5826461,"Downregulated","DEGs_Data_2.csv"
"1553647_at",0.003485,-1.1895006,"Downregulated","DEGs_Data_2.csv"
"208850_s_at",0.003515,2.5630303,"Upregulated","DEGs_Data_2.csv"
"202016_at",0.003515,1.6817218,"Upregulated","DEGs_Data_2.csv"
"228469_at",0.003515,-1.7237757,"Downregulated","DEGs_Data_2.csv"
"215856_at",0.003515,-1.7414622,"Downregulated","DEGs_Data_2.csv"
"242892_at",0.003515,-1.2004022,"Downregulated","DEGs_Data_2.csv"
"219327_s_at",0.003515,-1.6666549,"Downregulated","DEGs_Data_2.csv"
"221676_s_at",0.003515,1.0898029,"Upregulated","DEGs_Data_2.csv"
"219965_s_at",0.003515,-1.1879763,"Downregulated","DEGs_Data_2.csv"
"236098_at",0.003515,-2.6824188,"Downregulated","DEGs_Data_2.csv"
"211571_s_at",0.003529,1.7772765,"Upregulated","DEGs_Data_2.csv"
"242398_x_at",0.003575,-1.133237,"Downregulated","DEGs_Data_2.csv"
"214421_x_at",0.003575,-2.8778642,"Downregulated","DEGs_Data_2.csv"
"202246_s_at",0.003604,0.7834132,"Not_Significant","DEGs_Data_2.csv"
"237094_at",0.003604,1.8410751,"Upregulated","DEGs_Data_2.csv"
"200665_s_at",0.003628,2.0628742,"Upregulated","DEGs_Data_2.csv"
"232309_at",0.003628,-1.5086112,"Downregulated","DEGs_Data_2.csv"
"231879_at",0.003628,1.8431189,"Upregulated","DEGs_Data_2.csv"
"1562208_a_at",0.003628,-1.4607901,"Downregulated","DEGs_Data_2.csv"
"211653_x_at",0.003645,-3.4402445,"Downregulated","DEGs_Data_2.csv"
"221729_at",0.003645,1.9518489,"Upregulated","DEGs_Data_2.csv"
"229909_at",0.003645,-2.4032758,"Downregulated","DEGs_Data_2.csv"
"205499_at",0.003645,1.9913791,"Upregulated","DEGs_Data_2.csv"
"231978_at",0.003647,-3.7337804,"Downregulated","DEGs_Data_2.csv"
"202772_at",0.003807,-0.8929298,"Not_Significant","DEGs_Data_2.csv"
"236001_at",0.003807,-3.3526676,"Downregulated","DEGs_Data_2.csv"
"201261_x_at",0.003807,2.3708699,"Upregulated","DEGs_Data_2.csv"
"1562765_at",0.003807,-1.9614927,"Downregulated","DEGs_Data_2.csv"
"201185_at",0.003807,1.4561492,"Upregulated","DEGs_Data_2.csv"
"218246_at",0.003807,-0.9224259,"Not_Significant","DEGs_Data_2.csv"
"216025_x_at",0.003807,-2.7396807,"Downregulated","DEGs_Data_2.csv"
"1565823_at",0.00383,0.966997,"Not_Significant","DEGs_Data_2.csv"
"230409_at",0.003873,-0.9842942,"Not_Significant","DEGs_Data_2.csv"
"37892_at",0.003947,5.9817584,"Upregulated","DEGs_Data_2.csv"
"207426_s_at",0.004021,1.6764978,"Upregulated","DEGs_Data_2.csv"
"226237_at",0.004021,3.5217517,"Upregulated","DEGs_Data_2.csv"
"212464_s_at",0.004053,2.530473,"Upregulated","DEGs_Data_2.csv"
"201035_s_at",0.004055,-1.2157702,"Downregulated","DEGs_Data_2.csv"
"205530_at",0.004061,-1.2727517,"Downregulated","DEGs_Data_2.csv"
"238222_at",0.004061,-9.1780163,"Downregulated","DEGs_Data_2.csv"
"201666_at",0.004061,2.0927926,"Upregulated","DEGs_Data_2.csv"
"242445_at",0.004061,-1.722693,"Downregulated","DEGs_Data_2.csv"
"208581_x_at",0.004061,-1.8223506,"Downregulated","DEGs_Data_2.csv"
"227491_at",0.00407,-1.4606932,"Downregulated","DEGs_Data_2.csv"
"236216_at",0.00407,-1.0125759,"Downregulated","DEGs_Data_2.csv"
"205289_at",0.004177,-1.8192399,"Downregulated","DEGs_Data_2.csv"
"202006_at",0.004236,1.0599907,"Upregulated","DEGs_Data_2.csv"
"212841_s_at",0.004236,-1.2858503,"Downregulated","DEGs_Data_2.csv"
"242384_at",0.004236,-1.0725719,"Downregulated","DEGs_Data_2.csv"
"207546_at",0.004249,-7.960095,"Downregulated","DEGs_Data_2.csv"
"244530_at",0.004249,-1.6766921,"Downregulated","DEGs_Data_2.csv"
"206172_at",0.004249,3.439477,"Upregulated","DEGs_Data_2.csv"
"204519_s_at",0.004249,-2.4707902,"Downregulated","DEGs_Data_2.csv"
"219249_s_at",0.004264,2.6036273,"Upregulated","DEGs_Data_2.csv"
"229793_at",0.004264,-1.0752139,"Downregulated","DEGs_Data_2.csv"
"212624_s_at",0.004264,1.6694207,"Upregulated","DEGs_Data_2.csv"
"207560_at",0.004264,-1.2322245,"Downregulated","DEGs_Data_2.csv"
"220724_at",0.004264,-5.2324383,"Downregulated","DEGs_Data_2.csv"
"226184_at",0.004264,0.9228856,"Not_Significant","DEGs_Data_2.csv"
"238942_at",0.004328,-2.1172511,"Downregulated","DEGs_Data_2.csv"
"237108_x_at",0.004342,-3.8425416,"Downregulated","DEGs_Data_2.csv"
"203819_s_at",0.004394,4.6396491,"Upregulated","DEGs_Data_2.csv"
"216759_at",0.004407,-1.3104961,"Downregulated","DEGs_Data_2.csv"
"211569_s_at",0.004422,-1.1303839,"Downregulated","DEGs_Data_2.csv"
"33494_at",0.004422,-1.1275696,"Downregulated","DEGs_Data_2.csv"
"216899_s_at",0.004443,1.2494611,"Upregulated","DEGs_Data_2.csv"
"228116_at",0.004462,2.2616987,"Upregulated","DEGs_Data_2.csv"
"202237_at",0.004462,1.7180859,"Upregulated","DEGs_Data_2.csv"
"242055_at",0.004489,-1.5680584,"Downregulated","DEGs_Data_2.csv"
"206539_s_at",0.004497,-2.1409082,"Downregulated","DEGs_Data_2.csv"
"206796_at",0.004497,2.3684176,"Upregulated","DEGs_Data_2.csv"
"222798_at",0.004497,-1.2224832,"Downregulated","DEGs_Data_2.csv"
"243015_at",0.004509,-1.5495176,"Downregulated","DEGs_Data_2.csv"
"208637_x_at",0.004509,1.5521609,"Upregulated","DEGs_Data_2.csv"
"226311_at",0.004519,2.9709372,"Upregulated","DEGs_Data_2.csv"
"221552_at",0.004541,-1.0379458,"Downregulated","DEGs_Data_2.csv"
"210154_at",0.004667,-0.8773911,"Not_Significant","DEGs_Data_2.csv"
"241006_at",0.004667,-1.8057252,"Downregulated","DEGs_Data_2.csv"
"210067_at",0.004787,-4.1283382,"Downregulated","DEGs_Data_2.csv"
"210381_s_at",0.004787,-4.2018853,"Downregulated","DEGs_Data_2.csv"
"207719_x_at",0.004787,1.0774047,"Upregulated","DEGs_Data_2.csv"
"1569202_x_at",0.004787,-0.8211788,"Not_Significant","DEGs_Data_2.csv"
"239964_at",0.004787,-2.0618453,"Downregulated","DEGs_Data_2.csv"
"212593_s_at",0.004787,-1.2020579,"Downregulated","DEGs_Data_2.csv"
"207175_at",0.004787,-3.440471,"Downregulated","DEGs_Data_2.csv"
"206292_s_at",0.004787,-3.3252571,"Downregulated","DEGs_Data_2.csv"
"205295_at",0.004787,-3.3539361,"Downregulated","DEGs_Data_2.csv"
"220602_s_at",0.004787,-0.9301997,"Not_Significant","DEGs_Data_2.csv"
"206548_at",0.004787,-0.9933354,"Not_Significant","DEGs_Data_2.csv"
"206324_s_at",0.004787,-1.7021772,"Downregulated","DEGs_Data_2.csv"
"223327_x_at",0.004787,-1.1084927,"Downregulated","DEGs_Data_2.csv"
"238824_at",0.004787,-0.9147261,"Not_Significant","DEGs_Data_2.csv"
"219773_at",0.004787,3.5235717,"Upregulated","DEGs_Data_2.csv"
"1555522_s_at",0.004787,1.0494522,"Upregulated","DEGs_Data_2.csv"
"234015_at",0.004787,-0.9817763,"Not_Significant","DEGs_Data_2.csv"
"230895_at",0.004787,-3.1604726,"Downregulated","DEGs_Data_2.csv"
"221510_s_at",0.004787,1.1241911,"Upregulated","DEGs_Data_2.csv"
"203083_at",0.004787,3.6138315,"Upregulated","DEGs_Data_2.csv"
"204416_x_at",0.004787,2.5084573,"Upregulated","DEGs_Data_2.csv"
"237411_at",0.004787,1.515555,"Upregulated","DEGs_Data_2.csv"
"225799_at",0.004814,1.2833652,"Upregulated","DEGs_Data_2.csv"
"208694_at",0.004834,0.8295788,"Not_Significant","DEGs_Data_2.csv"
"206160_at",0.004857,-2.8973238,"Downregulated","DEGs_Data_2.csv"
"208644_at",0.004882,0.8520361,"Not_Significant","DEGs_Data_2.csv"
"211689_s_at",0.004882,-2.0137834,"Downregulated","DEGs_Data_2.csv"
"227969_at",0.004883,-1.835941,"Downregulated","DEGs_Data_2.csv"
"229459_at",0.004883,2.5620202,"Upregulated","DEGs_Data_2.csv"
"201105_at",0.004883,1.2622536,"Upregulated","DEGs_Data_2.csv"
"230585_at",0.004883,-3.4536726,"Downregulated","DEGs_Data_2.csv"
"1553956_at",0.004883,1.1443985,"Upregulated","DEGs_Data_2.csv"
"220191_at",0.004883,-8.9911571,"Downregulated","DEGs_Data_2.csv"
"220125_at",0.004883,-2.0206673,"Downregulated","DEGs_Data_2.csv"
"220589_s_at",0.005008,-1.0519191,"Downregulated","DEGs_Data_2.csv"
"205401_at",0.005025,1.123912,"Upregulated","DEGs_Data_2.csv"
"205464_at",0.005026,-3.1638977,"Downregulated","DEGs_Data_2.csv"
"220723_s_at",0.005038,-5.2840292,"Downregulated","DEGs_Data_2.csv"
"213553_x_at",0.005038,1.8255071,"Upregulated","DEGs_Data_2.csv"
"218869_at",0.005038,-0.856714,"Not_Significant","DEGs_Data_2.csv"
"239151_at",0.005108,-0.7934798,"Not_Significant","DEGs_Data_2.csv"
"223194_s_at",0.005108,-1.5485598,"Downregulated","DEGs_Data_2.csv"
"222901_s_at",0.005108,-3.6170683,"Downregulated","DEGs_Data_2.csv"
"202238_s_at",0.005108,1.7361175,"Upregulated","DEGs_Data_2.csv"
"201701_s_at",0.005108,-1.0269665,"Downregulated","DEGs_Data_2.csv"
"237220_at",0.00511,-3.5531688,"Downregulated","DEGs_Data_2.csv"
"209012_at",0.00511,1.0112246,"Upregulated","DEGs_Data_2.csv"
"209699_x_at",0.005124,-3.2292147,"Downregulated","DEGs_Data_2.csv"
"226553_at",0.005124,-2.0343327,"Downregulated","DEGs_Data_2.csv"
"230285_at",0.005184,-1.2016122,"Downregulated","DEGs_Data_2.csv"
"201036_s_at",0.005194,-1.0526038,"Downregulated","DEGs_Data_2.csv"
"203989_x_at",0.005194,0.9750331,"Not_Significant","DEGs_Data_2.csv"
"207820_at",0.005194,-2.1455512,"Downregulated","DEGs_Data_2.csv"
"235299_at",0.005194,-1.5501389,"Downregulated","DEGs_Data_2.csv"
"210797_s_at",0.005194,-1.2839339,"Downregulated","DEGs_Data_2.csv"
"209570_s_at",0.005194,-1.1093174,"Downregulated","DEGs_Data_2.csv"
"201163_s_at",0.005198,1.0663493,"Upregulated","DEGs_Data_2.csv"
"210068_s_at",0.00523,-4.7956692,"Downregulated","DEGs_Data_2.csv"
"201617_x_at",0.005249,1.5858584,"Upregulated","DEGs_Data_2.csv"
"227861_at",0.00526,-1.4860991,"Downregulated","DEGs_Data_2.csv"
"1566440_at",0.00526,-1.4928595,"Downregulated","DEGs_Data_2.csv"
"235605_at",0.00526,-0.9591663,"Not_Significant","DEGs_Data_2.csv"
"221872_at",0.00526,2.0707755,"Upregulated","DEGs_Data_2.csv"
"1560281_a_at",0.005308,-2.5992343,"Downregulated","DEGs_Data_2.csv"
"236227_at",0.005308,-1.2995029,"Downregulated","DEGs_Data_2.csv"
"234709_at",0.005308,-3.7950006,"Downregulated","DEGs_Data_2.csv"
"239873_at",0.005351,-2.7603096,"Downregulated","DEGs_Data_2.csv"
"211161_s_at",0.005375,1.611439,"Upregulated","DEGs_Data_2.csv"
"211806_s_at",0.005375,-2.1293998,"Downregulated","DEGs_Data_2.csv"
"205161_s_at",0.005375,-1.1475415,"Downregulated","DEGs_Data_2.csv"
"220030_at",0.005375,-2.4009316,"Downregulated","DEGs_Data_2.csv"
"219803_at",0.005417,-3.0087351,"Downregulated","DEGs_Data_2.csv"
"218599_at",0.005417,-1.3891153,"Downregulated","DEGs_Data_2.csv"
"227721_at",0.005417,-1.0664517,"Downregulated","DEGs_Data_2.csv"
"223413_s_at",0.005421,0.825391,"Not_Significant","DEGs_Data_2.csv"
"235638_at",0.005427,-2.3188881,"Downregulated","DEGs_Data_2.csv"
"1562945_at",0.005427,-1.6313915,"Downregulated","DEGs_Data_2.csv"
"211980_at",0.005469,1.5265119,"Upregulated","DEGs_Data_2.csv"
"227926_s_at",0.005512,0.8819658,"Not_Significant","DEGs_Data_2.csv"
"213878_at",0.005512,-1.1416054,"Downregulated","DEGs_Data_2.csv"
"225458_at",0.00552,-2.4816269,"Downregulated","DEGs_Data_2.csv"
"204114_at",0.00552,2.2788435,"Upregulated","DEGs_Data_2.csv"
"216092_s_at",0.00552,-1.3672036,"Downregulated","DEGs_Data_2.csv"
"212791_at",0.00552,0.9226175,"Not_Significant","DEGs_Data_2.csv"
"210906_x_at",0.00552,-3.7580131,"Downregulated","DEGs_Data_2.csv"
"231374_at",0.005523,2.2974636,"Upregulated","DEGs_Data_2.csv"
"209558_s_at",0.005523,-0.8906494,"Not_Significant","DEGs_Data_2.csv"
"211456_x_at",0.005523,-2.0277771,"Downregulated","DEGs_Data_2.csv"
"218854_at",0.005523,1.2954947,"Upregulated","DEGs_Data_2.csv"
"212185_x_at",0.005523,-1.5517138,"Downregulated","DEGs_Data_2.csv"
"1555841_at",0.005523,1.0371324,"Upregulated","DEGs_Data_2.csv"
"45288_at",0.005523,-0.9934248,"Not_Significant","DEGs_Data_2.csv"
"211981_at",0.00556,2.0214329,"Upregulated","DEGs_Data_2.csv"
"206212_at",0.00556,-3.9419984,"Downregulated","DEGs_Data_2.csv"
